TargetName	S00018	S00014	S00020	groundstation3	groundstation3	groundstation3	groundstation3	groundstation2	groundstation2	groundstation2	groundstation2	S00011	S00012	S00045	S00042	groundstation1	groundstation1	groundstation4	groundstation4	groundstation1	groundstation1	groundstation1	groundstation1	groundstation4	groundstation4	groundstation4	groundstation4	S00067	groundstation1	groundstation1	groundstation1	groundstation4	groundstation4	groundstation3	groundstation3	S00074	SC3083	SC3084	SC3085	SC3090	SC3091	groundstation3	groundstation3	groundstation3	groundstation3	groundstation2	groundstation2	groundstation2	groundstation2	S00070	S00071	groundstation2	groundstation2	S00036	groundstation4	groundstation4	groundstation4	groundstation4	groundstation1	groundstation1	groundstation1
TargetType	LocationTarget	LocationTarget	LocationTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	LocationTarget	LocationTarget	LocationTarget	LocationTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	LocationTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	LocationTarget	LocationTarget	LocationTarget	LocationTarget	LocationTarget	LocationTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	LocationTarget	LocationTarget	FacilityTarget	FacilityTarget	LocationTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget	FacilityTarget
EventStartTime	0.0000000000	18629.9457836365	18676.5178519916	18736.0472001253	19090.0000000000	19270.0000000000	19450.0000000000	19630.0000000000	22180.0000000000	22360.0000000000	22540.0000000000	22720.0000000000	23826.7885074881	23836.3348845594	29804.6411837400	29985.6139578494	36880.0000000000	37060.0000000000	38620.0000000000	38800.0000000000	42250.0000000000	42430.0000000000	42610.0000000000	42790.0000000000	44080.0000000000	44260.0000000000	44440.0000000000	44620.0000000000	47256.2745292900	48010.0000000000	48190.0000000000	48370.0000000000	49870.0000000000	50050.0000000000	56080.0000000000	56260.0000000000	57736.6396261894	58208.3341348655	58218.7983685736	58228.8316437919	58236.4491012372	58246.5678772752	61480.0000000000	61660.0000000000	61840.0000000000	62020.0000000000	64090.0000000000	64270.0000000000	64450.0000000000	64630.0000000000	69156.3677914070	69465.6845970786	69820.0000000000	70000.0000000000	81067.3860455618	81910.0000000000	82090.0000000000	82270.0000000000	82450.0000000000	83800.0000000000	83980.0000000000
TaskStartTime	18630.0000000000	18670.0000000000	18730.0000000000	19030.0000000000	19210.0000000000	19390.0000000000	19570.0000000000	22120.0000000000	22300.0000000000	22480.0000000000	22660.0000000000	23830.0000000000	23840.0000000000	29800.0000000000	29980.0000000000	36820.0000000000	37000.0000000000	38560.0000000000	38740.0000000000	42190.0000000000	42370.0000000000	42550.0000000000	42730.0000000000	44020.0000000000	44200.0000000000	44380.0000000000	44560.0000000000	47260.0000000000	47950.0000000000	48130.0000000000	48310.0000000000	49810.0000000000	49990.0000000000	56020.0000000000	56200.0000000000	57730.0000000000	58210.0000000000	58220.0000000000	58230.0000000000	58240.0000000000	58250.0000000000	61420.0000000000	61600.0000000000	61780.0000000000	61960.0000000000	64030.0000000000	64210.0000000000	64390.0000000000	64570.0000000000	69160.0000000000	69470.0000000000	69760.0000000000	69940.0000000000	81070.0000000000	81850.0000000000	82030.0000000000	82210.0000000000	82390.0000000000	83740.0000000000	83920.0000000000	84100.0000000000
TaskEndTime	18631.2000000000	18671.2000000000	18731.2000000000	19090.0000000000	19270.0000000000	19450.0000000000	19630.0000000000	22180.0000000000	22360.0000000000	22540.0000000000	22720.0000000000	23831.2000000000	23841.2000000000	29801.2000000000	29981.2000000000	36880.0000000000	37060.0000000000	38620.0000000000	38800.0000000000	42250.0000000000	42430.0000000000	42610.0000000000	42790.0000000000	44080.0000000000	44260.0000000000	44440.0000000000	44620.0000000000	47261.2000000000	48010.0000000000	48190.0000000000	48370.0000000000	49870.0000000000	50050.0000000000	56080.0000000000	56260.0000000000	57731.2000000000	58211.2000000000	58221.2000000000	58231.2000000000	58241.2000000000	58251.2000000000	61480.0000000000	61660.0000000000	61840.0000000000	62020.0000000000	64090.0000000000	64270.0000000000	64450.0000000000	64630.0000000000	69161.2000000000	69471.2000000000	69820.0000000000	70000.0000000000	81071.2000000000	81910.0000000000	82090.0000000000	82270.0000000000	82450.0000000000	83800.0000000000	83980.0000000000	84160.0000000000
EventEndTime	18629.9457836365	18676.5178519916	18736.0472001253	19090.0000000000	19270.0000000000	19450.0000000000	19630.0000000000	22180.0000000000	22360.0000000000	22540.0000000000	22720.0000000000	23826.7885074881	23836.3348845594	29804.6411837400	29985.6139578494	36880.0000000000	37060.0000000000	38620.0000000000	38800.0000000000	42250.0000000000	42430.0000000000	42610.0000000000	42790.0000000000	44080.0000000000	44260.0000000000	44440.0000000000	44620.0000000000	47256.2745292900	48010.0000000000	48190.0000000000	48370.0000000000	49870.0000000000	50050.0000000000	56080.0000000000	56260.0000000000	57736.6396261894	58208.3341348655	58218.7983685736	58228.8316437919	58236.4491012372	58246.5678772752	61480.0000000000	61660.0000000000	61840.0000000000	62020.0000000000	64090.0000000000	64270.0000000000	64450.0000000000	64630.0000000000	69156.3677914070	69465.6845970786	69820.0000000000	70000.0000000000	81067.3860455618	81910.0000000000	82090.0000000000	82270.0000000000	82450.0000000000	83800.0000000000	83980.0000000000	86400.0000000000
TargetLat	44.0500000000	40.1000000000	36.3000000000	-2.9000000000	-2.9000000000	-2.9000000000	-2.9000000000	18.5900000000	18.5900000000	18.5900000000	18.5900000000	70.1000000000	69.9000000000	51.5000000000	40.4000000000	-33.4700000000	-33.4700000000	-29.1500000000	-29.1500000000	-33.4700000000	-33.4700000000	-33.4700000000	-33.4700000000	-29.1500000000	-29.1500000000	-29.1500000000	-29.1500000000	24.5000000000	-33.4700000000	-33.4700000000	-33.4700000000	-29.1500000000	-29.1500000000	-2.9000000000	-2.9000000000	74.8000000000	47.8000000000	47.8000000000	48.1000000000	47.6000000000	47.6000000000	-2.9000000000	-2.9000000000	-2.9000000000	-2.9000000000	18.5900000000	18.5900000000	18.5900000000	18.5900000000	71.0000000000	52.8000000000	18.5900000000	18.5900000000	35.2000000000	-29.1500000000	-29.1500000000	-29.1500000000	-29.1500000000	-33.4700000000	-33.4700000000	-33.4700000000
TargetLon	43.0000000000	44.5000000000	43.1000000000	40.2000000000	40.2000000000	40.2000000000	40.2000000000	-155.4000000000	-155.4000000000	-155.4000000000	-155.4000000000	33.1000000000	32.9000000000	-0.1000000000	-3.2000000000	-70.6500000000	-70.6500000000	114.5600000000	114.5600000000	-70.6500000000	-70.6500000000	-70.6500000000	-70.6500000000	114.5600000000	114.5600000000	114.5600000000	114.5600000000	-81.9000000000	-70.6500000000	-70.6500000000	-70.6500000000	114.5600000000	114.5600000000	40.2000000000	40.2000000000	-95.0000000000	-122.2000000000	-122.0000000000	-122.0000000000	-122.2000000000	-122.0000000000	40.2000000000	40.2000000000	40.2000000000	40.2000000000	-155.4000000000	-155.4000000000	-155.4000000000	-155.4000000000	-157.0000000000	-169.2000000000	-155.4000000000	-155.4000000000	139.6000000000	114.5600000000	114.5600000000	114.5600000000	114.5600000000	-70.6500000000	-70.6500000000	-70.6500000000
