0	6678	0	0	0	7.2599	2.6424	
0.1	6678	0.72599	0.26424	-0.000893811	7.2599	2.6424	
0.6	6678	4.35594	1.58544	-0.00536286	7.2599	2.6424	
3.1	6677.96	22.5056	8.19142	-0.0277081	7.25985	2.64238	
15.6	6676.91	113.248	41.2192	-0.139427	7.25872	2.64197	
78.1	6650.76	566.227	206.091	-0.697117	7.23029	2.63162	
190.303	6516.81	1370.44	498.803	-1.68724	7.08466	2.57862	
325.053	6211.34	2304.62	838.818	-2.83736	6.75258	2.45775	
476.483	5688.8	3286.66	1196.25	-4.04642	6.1845	2.25099	
642.671	4915.64	4247.58	1546	-5.22946	5.34397	1.94506	
824.011	3866.5	5116.42	1862.23	-6.29916	4.2034	1.52992	
999.413	2689.84	5743.68	2090.54	-7.07142	2.92421	1.06433	
1163.6	1487.41	6117.6	2226.64	-7.53179	1.617	0.588541	
1314.97	330.367	6267.55	2281.21	-7.71641	0.359123	0.130711	
1449.19	-705.114	6240.15	2271.24	-7.68268	-0.766597	-0.27902	
1565.15	-1586.99	6095.45	2218.57	-7.50454	-1.72533	-0.62797	
1702.37	-2592.51	5783.04	2104.86	-7.1199	-2.81848	-1.02585	
1855.85	-3638.78	5261.8	1915.15	-6.47818	-3.95593	-1.43985	
2024.01	-4652.66	4501.48	1638.41	-5.5421	-5.05818	-1.84103	
2207.57	-5557.78	3478.88	1266.22	-4.28311	-6.04219	-2.19919	
2381.46	-6185.49	2365.07	860.82	-2.91182	-6.7246	-2.44757	
2543.94	-6546.85	1237.23	450.317	-1.52325	-7.11746	-2.59056	
2700	-6676.86	112.396	40.9091	-0.138381	-7.25881	-2.642	

